tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 00:02:26,2020-12-01 00:02:50.145,2020-12-01 00:05:16.194,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,42308,Subscriber,1989,Female
0 days 00:09:32,2020-12-01 00:11:57.391,2020-12-01 00:21:30.251,3640,Journal Square,40.73367,-74.0625,3280,Astor Place,40.71928220070702,-74.07126188278198,18568,Subscriber,1997,Female
0 days 00:06:27,2020-12-01 00:14:49.361,2020-12-01 00:21:16.873,3640,Journal Square,40.73367,-74.0625,3194,McGinley Square,40.7253399253558,-74.06762212514877,44543,Subscriber,1960,Male
0 days 00:03:08,2020-12-01 00:45:06.368,2020-12-01 00:48:14.428,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,43098,Subscriber,1998,Male
0 days 00:09:54,2020-12-01 01:17:17.011,2020-12-01 01:27:11.940,3212,Christ Hospital,40.734785818,-74.050443636,3209,Brunswick St,40.7241765,-74.0506564,44723,Subscriber,1988,Male
0 days 00:04:29,2020-12-01 01:52:22.511,2020-12-01 01:56:52.179,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73089709786179,-74.06391263008118,44543,Customer,1969,Unknown
0 days 01:23:10,2020-12-01 03:56:44.965,2020-12-01 05:19:55.211,3184,Paulus Hook,40.7141454,-74.0335519,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45347,Customer,1996,Female
0 days 01:22:27,2020-12-01 03:57:31.419,2020-12-01 05:19:58.835,3184,Paulus Hook,40.7141454,-74.0335519,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44555,Customer,2000,Male
0 days 00:03:33,2020-12-01 04:51:25.243,2020-12-01 04:54:58.862,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73089709786179,-74.06391263008118,42230,Subscriber,1980,Male
0 days 00:05:06,2020-12-01 05:20:26.397,2020-12-01 05:25:32.594,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,44937,Subscriber,1981,Male
