tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 02:36:00,2020-11-01 00:11:32.625,2020-11-01 00:24:09.585,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42436,Subscriber,1984,Male
0 days 02:23:00,2020-11-01 00:14:20.482,2020-11-01 00:24:04.782,3681,Grand St,40.71517767732029,-74.03768330812454,3209,Brunswick St,40.7241765,-74.0506564,46532,Customer,1969,Unknown
0 days 05:05:00,2020-11-01 00:22:55.882,2020-11-01 00:29:39.095,3203,Hamilton Park,40.727595966,-74.044247311,3483,Montgomery St,40.71942,-74.05099,35139,Subscriber,1980,Male
0 days 18:17:00,2020-11-01 00:41:37.427,2020-11-01 00:49:55.701,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3213,Van Vorst Park,40.71848892,-74.047726625,46539,Customer,1969,Unknown
0 days 04:37:00,2020-11-01 00:53:21.234,2020-11-01 00:55:52.806,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,44388,Subscriber,1986,Male
0 days 08:57:00,2020-11-01 01:04:13.537,2020-11-01 02:54:19.999,3679,Bergen Ave,40.722103786686034,-74.07145500183105,3679,Bergen Ave,40.722103786686034,-74.07145500183105,26139,Customer,1990,Male
0 days 20:33:00,2020-11-01 01:08:02.003,2020-11-01 01:17:35.776,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42277,Subscriber,1996,Male
0 days 07:51:00,2020-11-01 01:08:57.695,2020-11-01 01:17:29.438,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,42194,Subscriber,1992,Female
0 days 07:31:00,2020-11-01 01:09:22.982,2020-11-01 01:11:09.490,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,21500,Subscriber,1996,Male
1 days 09:27:00,2020-11-01 01:11:27.915,2020-11-01 01:22:13.444,3206,Hilltop,40.7311689,-74.0575736,3187,Warren St,40.7211236,-74.03805095,42590,Customer,1969,Unknown
0 days 07:12:00,2020-11-01 01:17:46.104,2020-11-01 01:26:39.522,3194,McGinley Square,40.7253399253558,-74.06762212514877,3694,Jackson Square,40.71113,-74.0789,42465,Subscriber,1969,Male
1 days 08:49:00,2020-11-01 01:19:28.237,2020-11-01 01:25:13.974,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,45919,Subscriber,1987,Male
0 days 05:37:00,2020-11-01 01:32:16.899,2020-11-01 01:38:18.063,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,47253,Subscriber,1973,Female
0 days 21:14:00,2020-11-01 02:02:14.586,2020-11-01 02:06:47.195,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3203,Hamilton Park,40.727595966,-74.044247311,42308,Subscriber,1988,Male
0 days 04:33:00,2020-11-01 02:14:05.717,2020-11-01 02:31:18.482,3213,Van Vorst Park,40.71848892,-74.047726625,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,42157,Customer,1969,Unknown
0 days 05:01:00,2020-11-01 02:25:02.709,2020-11-01 02:40:42.345,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42396,Customer,1993,Male
0 days 07:29:00,2020-11-01 03:03:53.439,2020-11-01 03:23:58.805,3694,Jackson Square,40.71113,-74.0789,3694,Jackson Square,40.71113,-74.0789,42314,Customer,1990,Male
1 days 01:53:00,2020-11-01 03:16:41.899,2020-11-01 03:18:50.841,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,44913,Subscriber,1994,Male
1 days 16:04:00,2020-11-01 03:35:51.111,2020-11-01 03:44:00.112,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346382669195,-74.06285852193832,42370,Subscriber,1991,Male
